Index,Type
4.0.3,Radio
4.0.4,Broadcast Serv/Program
4.0.5,Publishing-Newspapers
4.0.6,Publishing-Books
4.0.7,Publishing-Periodicals
4.1,Telecommunications
4.1.0,Telephone-Integrated
4.1.1,Telecom Services
4.1.2,Cellular Telecom
4.1.3,Telecommunication Equip
4.1.4,Networking Products
4.1.5,Satellite Telecom
4.1.6,Wireless Equipment
4.1.7,Telecom Eq Fiber Optics
4.2,Internet
4.2.0,Internet Content-Entmnt
4.2.1,Web Portals/ISP
4.2.2,Internet Security
4.2.3,E-Commerce/Services
4.2.4,Internet Content-Info/Ne
4.2.5,Internet Applic Sftwr
4.2.6,E-Commerce/Products
4.2.7,E-Services/Consulting
4.2.8,Internet Infrastr Sftwr
4.2.9,Internet Brokers
4.2.10,Internet Connectiv Svcs
4.2.11,E-Marketing/Info
4.2.12,Internet Telephony
4.2.13,Web Hosting/Design
4.2.14,Internet Financial Svcs
4.2.15,B2B/E-Commerce
4.2.16,Internet Incubators
4.3,Advertising
4.3.0,Direct Marketing
4.3.1,Advertising Sales
4.3.2,Advertising Agencies
4.3.3,Advertising Services
5,Utilities
5.0,Electric
5.0.0,Electric-Integrated
5.0.1,Electric-Distribution
5.0.2,Electric-Generation
5.0.3,Electric-Transmission
5.0.4,Independ Power Producer
5.1,Water
5.1.0,Water
5.2,Gas
5.2.0,Gas-Distribution
5.2.1,Gas-Transportation
6,Technology
6.0,Software
6.0.0,Enterprise Software/Serv
6.0.1,Medical Information Sys
6.0.2,Entertainment Software
6.0.3,Applications Software
6.0.4,Computer Software
6.0.5,Data Processing/Mgmt
6.0.6,Computer Aided Design
6.0.7,Educational Software
6.0.8,Communications Software
6.0.9,Electronic Forms
6.0.10,Decision Support Softwar
6.0.11,Software Tools
6.0.12,Transactional Software
6.1,Semiconductors
6.1.0,Electronic Compo-Semicon
6.1.1,Semiconductor Equipment
6.1.2,Semicon Compo-Intg Circu
6.2,Computers
6.2.0,Computer Data Security
6.2.1,Computers
6.2.2,Computer Services
6.2.3,Computers-Integrated Sys
6.2.4,Computers-Memory Devices
6.2.5,Computers-Peripher Equip
6.2.6,Computers-Other
6.2.7,Optical Recognition Equi
6.2.8,Computers-Voice Recogn
6.2.9,Virtual Reality Products
6.2.10,Electronic Design Automa
6.3,Office/Business Equip
6.3.0,Office Automation&Equip
7,Energy
7.0,Oil&Gas
7.0.0,Oil Comp-Explor&Prodtn
7.0.1,Oil Comp-Integrated
